# verify_host 用の入力シナリオ (game.nes, 600 フレーム以内)
#
# 書式: <フレーム番号> <ボタン>
#   ボタン  A / B / SELECT / START / UP / DOWN / LEFT / RIGHT を + で連結、
#           NONE または 0 で全解放、2 桁までの 16 進 (例 09) でも可
#   '#' 以降は行コメント。フレーム番号は昇順。
#
# 状態は次のイベントまで保持される (押しっぱなしが既定)。verify_host は
# runFrame() の直前に適用するので、フレーム番号は「そのフレームからこの入力で
# 走る」の意味になる。
#
# 無入力の verify がタイトル/デモ画面しか踏まないのに対し、こちらは実際に
# ゲームを開始して背景スクロールとスプライトを動かす。fb の許容窓 (justfile の
# known_line / known_x) が、動きのある画面でも成り立つかを見るのが目的。

# --- タイトルでゲーム開始 ---
# 150 まで待つのは、電源投入直後の初期化が終わってタイトルが入力を受け付ける
# ようになるまで ~2.5 秒かかるため。60 フレーム時点で押すと初期化中の画面遷移に
# 巻き込まれ、メニューで止まる (実測: 以降の相異なる画面数が 96 → 3)。
150 START
156 NONE

# --- プレイ: 右へ走り、時々ジャンプ ---
# 右を押しっぱなしにするのが要点。方向キーを離すと背景スクロールが止まり画面が
# ほぼ静止する (実測: frames 200-599 の相異なる画面数が 96 → 8)。検証したいのは
# 動きのある画面なので、方向は保持したまま A だけを 8 フレームずつ挟む。
200 RIGHT
240 RIGHT+A
248 RIGHT
# ジャンプの位置はコース依存で、320 や 340 で跳ぶと落下してリスタートに入り、
# 以降ほぼ静止画になる (実測: 96 → 11)。落ちない位置を実測で選んである。
400 RIGHT+A
408 RIGHT
540 RIGHT+A
548 RIGHT
